총20017건
순번,판례ID,제목,법원,사건유형,판결유형,선고일자
1,238587,손해배상(의),대전고등법원,하급심,민사,2020.02.06
2,238601,건물등철거·소유권이전등기,춘천지방법원,하급심,민사,2021.08.24
3,238581,공제금,서울고등법원,하급심,민사,2021.09.09
4,234011,건축허가신청불허가처분취소,대구고등법원,하급심,일반행정,2020.06.26
5,238621,채무부존재확인,수원지방법원 성남지원,하급심,민사,2021.12.09
6,239481,손해배상(기),서울고등법원,하급심,민사,2022.07.15
7,238717,위약금,수원지방법원 성남지원,하급심,민사,2021.06.18
8,238725,특정경제범죄가중처벌등에관한법률위반(배임)(인정된죄명업무상배임)·업무방해,대전고등법원,하급심,형사,2023.06.27
9,238743,특정경제범죄가중처벌등에관한법률위반(배임)(인정된죄명업무상배임)·업무방해,대전지방법원,하급심,형사,2023.01.12
10,239083,소유권말소등기,서울고등법원,하급심,민사,2023.06.29
11,239107,마약류관리에관한법률위반(향정)·교통사고처리특례법위반(치상)·퇴거불응,서울동부지방법원,하급심,형사,2023.06.23
12,239133,대여금,춘천지방법원 강릉지원,하급심,민사,2021.03.03
13,238807,공직선거법위반,부산고등법원,하급심,형사,2023.05.03
14,238843,소송비용액확정,서울중앙지방법원,하급심,민사,2023.05.24
15,238851,임대차보증금반환,서울중앙지방법원,하급심,민사,2022.09.30
16,226785,사해행위취소,대법원,대법원,민사,2021.02.04
17,234019,대여금,대구지방법원,하급심,민사,2022.09.02
18,239687,약사법위반,대법원,대법원,형사,2024.02.29
19,238499,부정청탁및금품등수수의금지에관한법률위반·물가안정에관한법률위반,부산고등법원(창원),하급심,형사,2023.02.08
20,233973,증여세부과처분취소,대법원,대법원,세무,2023.02.23
21,223303,횡령,대법원,대법원,형사,2022.06.23
22,230931,경정거부처분취소,대법원,대법원,세무,2022.01.27
23,214451,부정경쟁행위금지등청구의소,대법원,대법원,민사,2020.06.25
24,239389,부당해고구제재심판정취소,서울고등법원,하급심,일반행정,2021.01.22
25,239429,부당이득금,인천지방법원,하급심,민사,2021.03.18
26,239667,소송비용액확정,서울고등법원,하급심,민사,2023.09.12
27,241663,유류분반환,대법원,대법원,민사,2024.05.17
28,223477,이혼등,인천가정법원 부천지원,하급심,가사,2020.08.19
29,232575,부당이득금반환,대법원,대법원,민사,2022.11.30
30,607525,명의신탁주식에 대해 증여세를 부과한 처분은 적법함,수원고등법원,하급심,일반행정,2024.12.18
31,607529,과세관청의 소급감정을 통해 얻은 감정가액이 객관적 교환가치를 적정하지 반영하고 있다면 시가로 인정될 수 있음,대구지방법원,하급심,일반행정,2025.08.14
32,607577,"원고가 형식적 주주에 불과한지, 과점주주로서 지배적 영향력을 행사했는지 여부",인천지방법원,하급심,일반행정,2025.07.11
